"","user_id","mail_id","mail_category","mail_type","sent_time","open_time","click_time","unsubscribe_time","last_online","hacker_created_at","hacker_timezone","clicked","contest_login_count","contest_login_count_1_days","contest_login_count_30_days","contest_login_count_365_days","contest_login_count_7_days","contest_participation_count","contest_participation_count_1_days","contest_participation_count_30_days","contest_participation_count_365_days","contest_participation_count_7_days","forum_comments_count","forum_count","forum_expert_count","forum_questions_count","hacker_confirmation","ipn_count","ipn_count_1_days","ipn_count_30_days","ipn_count_365_days","ipn_count_7_days","ipn_read","ipn_read_1_days","ipn_read_30_days","ipn_read_365_days","ipn_read_7_days","opened","submissions_count","submissions_count_1_days","submissions_count_30_days","submissions_count_365_days","submissions_count_7_days","submissions_count_contest","submissions_count_contest_1_days","submissions_count_contest_30_days","submissions_count_contest_365_days","submissions_count_contest_7_days","submissions_count_master","submissions_count_master_1_days","submissions_count_master_30_days","submissions_count_master_365_days","submissions_count_master_7_days","unsubscribed"
"1","AR+tMy3H/E+Re8Id20zUIz+amJkv6KU12o+BrgIDin0=","DQ/4I+GIOz2ZoIiK0Lg0AkwnI35XotghgUK/MYc101I=","mail_category_2","mail_type_1",1463497837,1463540868,NA,NA,1459520208,1432533023,18000,"false",1,0,0,1,0,1,0,0,1,0,0,0,0,0,"true",17,0,3,17,0,0,0,0,0,0,"true",13,0,0,13,0,0,0,0,0,0,13,0,0,13,0,"false"
"2","1P4AOvdzJzhDSHi7jJ3udWv4ajpKxOn4T/rCLv4PrXU=","BL3z4RtiyfIDydaRYWX2ZXL6IX10QH1yG5ak1s/8Lls=","mail_category_1","mail_type_1",1461357640,NA,NA,NA,1461210367,1432184291,-25200,"false",3,0,1,3,0,3,0,1,3,0,0,0,0,0,"true",12,0,2,12,0,1,0,1,1,0,"false",99,0,46,99,4,16,0,3,16,0,83,0,43,83,4,"false"
"3","OEfFUcsTAGInCfsHuLZuIgdSNtuNsg8EdfN98VUZVTs=","BL3z4RtiyfIDydaRYWX2ZXL6IX10QH1yG5ak1s/8Lls=","mail_category_1","mail_type_1",1463499639,NA,NA,NA,1463411072,1433045937,18000,"false",3,0,0,3,0,3,0,0,3,0,0,0,0,0,"true",46,0,1,46,1,0,0,0,0,0,"false",16,0,3,16,0,0,0,0,0,0,16,0,3,16,0,"false"
"4","1P4AOvdzJzhDSHi7jJ3udWv4ajpKxOn4T/rCLv4PrXU=","EHNBRbi6i9KO6cMHsuDPFjZVp2cY3RH+BiOKwPwzLQs=","mail_category_1","mail_type_1",1463182983,NA,NA,NA,1462767962,1432184291,-25200,"false",3,0,0,3,0,3,0,0,3,0,0,0,0,0,"true",15,2,3,15,3,1,0,0,1,0,"false",101,0,9,101,0,16,0,0,16,0,85,0,9,85,0,"false"
"5","CYRcuV0cR0algMZJ1N6+3uKcqi8iu+6tJNzmBbmgN7o=","K0y/NW59TJkYc5y0HUwDeAXrewYT0JQlkcozz0s2V5Q=","mail_category_4","mail_type_1",1461855019,NA,NA,NA,1461248422,1432998058,18000,"false",5,0,0,5,0,13,0,0,13,0,0,0,0,0,"true",107,0,4,107,0,11,0,1,11,0,"false",60,0,1,60,0,17,0,1,17,0,43,0,0,43,0,"false"
"6","UREtRIcAzBFKmMt9ZSkFLofOWKAKmzsDD7BwrdxcPuk=","UGATDXARg7jMEInKH7oXgty2nwxnwD2l0OW/8Nsa0MI=","mail_category_6","mail_type_1",1459927021,NA,NA,NA,1457962260,1431945704,18000,"false",2,0,0,2,0,3,0,0,3,0,0,0,0,0,"true",27,0,2,27,0,11,0,0,11,0,"false",101,0,0,101,0,13,0,0,13,0,88,0,0,88,0,"false"
"7","NiDHS4AU/QOs3ppF618O6bUg8BxJd+EV4Ek26KWrDc0=","qE9zgWiITYA97RUiN4X/t9IVWLViLz+lKijaYegyBiQ=","mail_category_1","mail_type_1",1460230930,1460231830,NA,NA,1460134847,1432658834,3600,"false",1,0,0,1,0,3,0,0,3,0,0,0,0,0,"true",20,0,0,20,0,0,0,0,0,0,"true",20,0,12,20,12,0,0,0,0,0,20,0,12,20,12,"false"
"8","sGNmP4gGVwh3YBpXtq6ZI05PIa3Z0iUaF+ujKonctu0=","BL3z4RtiyfIDydaRYWX2ZXL6IX10QH1yG5ak1s/8Lls=","mail_category_1","mail_type_1",1462282973,NA,NA,NA,1462192802,1432294499,18000,"false",1,0,0,1,0,2,0,1,2,1,0,0,0,0,"true",9,1,6,9,6,0,0,0,0,0,"false",14,0,14,14,14,0,0,0,0,0,14,0,14,14,14,"false"
"9","nyoFu8qU0B5viJDXfrVRQ65ytOSSSY3c7okcjo1Z76M=","4+EEK8RbNYwuFCHznY9XSRCV4Yek60bHVgnP3jtjjzk=","mail_category_13","mail_type_2",1462888545,1462890129,NA,NA,1462859879,1432795707,18000,"false",53,1,5,53,1,91,1,7,91,1,1,1,0,0,"true",106,0,4,106,2,28,0,2,28,1,"true",394,0,19,394,0,265,0,19,265,0,129,0,0,129,0,"false"
"10","A2EUbD7QN5SXpJ7FhPY5Ne7zwjwYhRvAheGskLl0Os8=","4+EEK8RbNYwuFCHznY9XSRCV4Yek60bHVgnP3jtjjzk=","mail_category_13","mail_type_2",1462888549,NA,NA,NA,1462368933,1432059719,-25200,"false",1,0,0,1,0,2,0,1,2,1,0,0,0,0,"true",8,0,0,8,0,0,0,0,0,0,"false",3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,"false"
